# 2023-07-18
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_fluent_nested_withCol,fluent,2,102,2,100,1.6953883171081543,100,FALSE,TRUE,2023-07-20T07:19:42.056938
success,dedupe_fluent_nested_withCol,fluent,3,202,2,100,1.7358314990997314,100,FALSE,TRUE,2023-07-20T07:19:43.934500
success,dedupe_fluent_nested_withCol,fluent,6,502,3,100,1.749765396118164,100,FALSE,TRUE,2023-07-20T07:19:45.811718
success,dedupe_fluent_nested_withCol,fluent,2,1020,3,1000,1.7735223770141602,1000,FALSE,TRUE,2023-07-20T07:19:47.744680
success,dedupe_fluent_nested_withCol,fluent,3,2020,3,1000,7.562493085861206,1000,FALSE,TRUE,2023-07-20T07:19:55.468103
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_fluent_nested_withCol,fluent,2,102,2,100,2.592069149017334,100,FALSE,TRUE,2023-07-20T07:47:40.092615
success,dedupe_fluent_nested_withCol,fluent,3,202,2,100,2.0064661502838135,100,FALSE,TRUE,2023-07-20T07:47:42.240634
success,dedupe_fluent_nested_withCol,fluent,6,502,3,100,1.970632791519165,100,FALSE,TRUE,2023-07-20T07:47:44.349565
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_fluent_nested_withCol,fluent,2,102,2,100,2.591656446456909,100,FALSE,TRUE,2023-07-20T10:42:25.909400
success,dedupe_fluent_nested_withCol,fluent,3,202,2,100,1.9257078170776367,100,FALSE,TRUE,2023-07-20T10:42:27.960320
success,dedupe_fluent_nested_withCol,fluent,6,502,3,100,2.0000431537628174,100,FALSE,TRUE,2023-07-20T10:42:30.085605
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_fluent_nested_withCol,fluent,2,102,2,100,2.466352939605713,100,FALSE,TRUE,2023-07-20T10:48:47.943164
success,dedupe_fluent_nested_withCol,fluent,3,202,2,100,1.9733319282531738,100,FALSE,TRUE,2023-07-20T10:48:50.045445
success,dedupe_fluent_nested_withCol,fluent,6,502,3,100,1.998715877532959,100,FALSE,TRUE,2023-07-20T10:48:52.165650
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_fluent_nested_withCol,fluent,2,102,2,100,2.4581544399261475,100,FALSE,TRUE,2023-07-20T10:50:33.320204
success,dedupe_fluent_nested_withCol,fluent,3,202,2,100,1.9106740951538086,100,FALSE,TRUE,2023-07-20T10:50:35.349972
success,dedupe_fluent_nested_withCol,fluent,6,502,3,100,1.9349238872528076,100,FALSE,TRUE,2023-07-20T10:50:37.410619
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_fluent_nested_withCol,fluent,2,102,2,100,2.42440128326416,100,FALSE,TRUE,2023-07-20T10:53:39.770159
success,dedupe_fluent_nested_withCol,fluent,3,202,2,100,1.8934473991394043,100,FALSE,TRUE,2023-07-20T10:53:41.795033
success,dedupe_fluent_nested_withCol,fluent,6,502,3,100,1.9278769493103027,100,FALSE,TRUE,2023-07-20T10:53:43.848354
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
success,dedupe_fluent_nested_withCol,fluent,2,1020,3,1000,2.6267480850219727,1000,FALSE,TRUE,2023-07-20T10:59:42.286031
success,dedupe_fluent_nested_withCol,fluent,3,2020,3,1000,7.666298866271973,1000,FALSE,TRUE,2023-07-20T10:59:50.097304
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
 result,strategy,interface,numSources,dataSize,dataSizeExp,actualNumPeople,elapsedTime,foundNumPeople,IsCloudMode,CanAssumeNoDupesPerPartition,finishedAt
