# 2023-07-18
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,
cond_rdd_mappart,rdd,90,24.573706,9,pyspark,2023-12-25T14:01:32.393359,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
cond_sql_join,sql,90,0.763285,9,pyspark,2023-12-30T10:17:41.246279,
cond_fluent_join,fluent,90,0.690114,9,pyspark,2023-12-30T10:17:42.094669,
cond_sql_null,sql,90,0.516823,9,pyspark,2023-12-30T10:17:42.768208,
cond_fluent_null,fluent,90,0.382748,9,pyspark,2023-12-30T10:17:43.297090,
cond_fluent_zero,fluent,90,0.492870,9,pyspark,2023-12-30T10:17:43.960149,
cond_pandas,pandas,90,5.083417,9,pyspark,2023-12-30T10:17:49.201135,
cond_pandas_numba,pandas,90,11.967539,9,pyspark,2023-12-30T10:18:01.329966,
cond_sql_nested,sql,90,0.710340,9,pyspark,2023-12-30T10:18:02.204155,
cond_fluent_nested,fluent,90,0.730528,9,pyspark,2023-12-30T10:18:03.083812,
cond_fluent_window,fluent,90,0.996118,9,pyspark,2023-12-30T10:18:04.230635,
cond_rdd_grpmap,rdd,90,29.551591,9,pyspark,2023-12-30T10:18:33.929456,
cond_rdd_reduce,rdd,90,23.625093,9,pyspark,2023-12-30T10:18:57.711226,
cond_rdd_mappart,rdd,90,23.759268,9,pyspark,2023-12-30T10:19:21.611013,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
cond_sql_join,sql,90,0.716498,9,pyspark,2023-12-30T10:37:01.369686,
cond_fluent_join,fluent,90,0.646382,9,pyspark,2023-12-30T10:37:02.170979,
cond_sql_null,sql,90,0.514580,9,pyspark,2023-12-30T10:37:02.829254,
cond_fluent_null,fluent,90,0.343557,9,pyspark,2023-12-30T10:37:03.326836,
cond_fluent_zero,fluent,90,0.458229,9,pyspark,2023-12-30T10:37:03.933083,
cond_pandas,pandas,90,4.164559,9,pyspark,2023-12-30T10:37:08.241851,
cond_pandas_numba,pandas,90,10.970934,9,pyspark,2023-12-30T10:37:19.372009,
cond_sql_nested,sql,90,0.771605,9,pyspark,2023-12-30T10:37:20.311148,
cond_fluent_nested,fluent,90,0.823468,9,pyspark,2023-12-30T10:37:21.299734,
cond_fluent_window,fluent,90,0.972450,9,pyspark,2023-12-30T10:37:22.428501,
cond_rdd_grpmap,rdd,90,33.193063,9,pyspark,2023-12-30T10:37:55.779803,
cond_rdd_reduce,rdd,90,25.324475,9,pyspark,2023-12-30T10:38:21.265787,
cond_rdd_mappart,rdd,90,23.392007,9,pyspark,2023-12-30T10:38:44.800360,
 strategy,interface,dataSize,elapsedTime,recordCount,finishedAt,engine,
cond_pyspark_sql_join,sql,90,0.806515,9,pyspark,2023-12-31T23:27:06.625868,
cond_pyspark_df_join,fluent,90,0.714981,9,pyspark,2023-12-31T23:27:07.503676,
cond_pyspark_sql_null,sql,90,0.618723,9,pyspark,2023-12-31T23:27:08.282327,
cond_pyspark_df_null,fluent,90,0.330610,9,pyspark,2023-12-31T23:27:08.772849,
cond_pyspark_df_zero,fluent,90,0.498032,9,pyspark,2023-12-31T23:27:09.425066,
cond_pyspark_df_grp_pandas,pandas,90,4.509263,9,pyspark,2023-12-31T23:27:14.095303,
cond_pyspark_df_grp_pandas_numba,pandas,90,11.022583,9,pyspark,2023-12-31T23:27:25.297859,
