challenge,strategy_name,language,engine,interface,regressor,number_of_runs,elapsed_time_avg,elapsed_time_std,elapsed_time_rl,elapsed_time_rh
vanilla,vanilla_pyspark_df_grp_pandas,python,pyspark,pandas,900,0,,,,
vanilla,vanilla_pyspark_df_grp_pandas,python,pyspark,pandas,9000,0,,,,
vanilla,vanilla_pyspark_df_grp_pandas,python,pyspark,pandas,90000,0,,,,
vanilla,vanilla_pyspark_df_grp_pandas,python,pyspark,pandas,900000,0,,,,
vanilla,vanilla_pyspark_df_grp_pandas,python,pyspark,pandas,9000000,0,,,,
vanilla,vanilla_pyspark_rdd_grp_map,python,pyspark,rdd,9,0,,,,
vanilla,vanilla_pyspark_rdd_grp_map,python,pyspark,rdd,90,29,26.32600275862069,6.032336656759798,24.13049658317252,28.52150893406886
vanilla,vanilla_pyspark_rdd_grp_map,python,pyspark,rdd,900,0,,,,
vanilla,vanilla_pyspark_rdd_grp_map,python,pyspark,rdd,9000,0,,,,
vanilla,vanilla_pyspark_rdd_grp_map,python,pyspark,rdd,90000,0,,,,
vanilla,vanilla_pyspark_rdd_grp_map,python,pyspark,rdd,900000,0,,,,
vanilla,vanilla_pyspark_rdd_grp_map,python,pyspark,rdd,9000000,0,,,,
vanilla,vanilla_pyspark_rdd_mappart,python,pyspark,rdd,9,0,,,,
vanilla,vanilla_pyspark_rdd_mappart,python,pyspark,rdd,90,0,,,,
vanilla,vanilla_pyspark_rdd_mappart,python,pyspark,rdd,900,0,,,,
vanilla,vanilla_pyspark_rdd_mappart,python,pyspark,rdd,9000,0,,,,
vanilla,vanilla_pyspark_rdd_mappart,python,pyspark,rdd,90000,0,,,,
vanilla,vanilla_pyspark_rdd_mappart,python,pyspark,rdd,900000,0,,,,
vanilla,vanilla_pyspark_rdd_mappart,python,pyspark,rdd,9000000,0,,,,
vanilla,vanilla_pyspark_rdd_reduce,python,pyspark,rdd,9,0,,,,
vanilla,vanilla_pyspark_rdd_reduce,python,pyspark,rdd,90,14,27.380178214285714,3.554340823189479,25.518334843255357,29.24202158531607
vanilla,vanilla_pyspark_rdd_reduce,python,pyspark,rdd,900,0,,,,
vanilla,vanilla_pyspark_rdd_reduce,python,pyspark,rdd,9000,0,,,,
vanilla,vanilla_pyspark_rdd_reduce,python,pyspark,rdd,90000,0,,,,
vanilla,vanilla_pyspark_rdd_reduce,python,pyspark,rdd,900000,0,,,,
vanilla,vanilla_pyspark_rdd_reduce,python,pyspark,rdd,9000000,0,,,,
vanilla,vanilla_pyspark_sql,python,pyspark,sql,9,0,,,,
vanilla,vanilla_pyspark_sql,python,pyspark,sql,90,18,1.3706592222222225,0.21470702641795827,1.2714714592130907,1.4698469852313543
vanilla,vanilla_pyspark_sql,python,pyspark,sql,900,0,,,,
vanilla,vanilla_pyspark_sql,python,pyspark,sql,9000,0,,,,
vanilla,vanilla_pyspark_sql,python,pyspark,sql,90000,0,,,,
vanilla,vanilla_pyspark_sql,python,pyspark,sql,900000,0,,,,
vanilla,vanilla_pyspark_sql,python,pyspark,sql,9000000,0,,,,
vanilla,vanilla_sc_spark_fluent,scala,sc_spark,sql,9,0,,,,
vanilla,vanilla_sc_spark_fluent,scala,sc_spark,sql,90,0,,,,
vanilla,vanilla_sc_spark_fluent,scala,sc_spark,sql,900,0,,,,
