# 2023-07-18
 strategy,interface,num_data_points,relative_cardinality,elapsed_time,record_count,finished_at,
bi_level_pyspark_df_grp_pandas_numba,pandas,900000,1000,20.175638,3,2023-09-04T21:41:26.727007,
bi_level_pyspark_sql_nested,sql,900000,1,3.733191,3,2023-09-04T21:41:30.606262,
bi_level_pyspark_sql_nested,sql,900000,10,4.185773,3,2023-09-04T21:41:34.936527,
bi_level_pyspark_sql_nested,sql,900000,100,5.684183,3,2023-09-04T21:41:40.767513,
bi_level_pyspark_sql_nested,sql,900000,1000,9.411015,3,2023-09-04T21:41:50.310756,
bi_level_pyspark_df_nested,fluent,900000,1,3.580501,3,2023-09-04T21:41:54.026330,
bi_level_pyspark_df_nested,fluent,900000,10,3.878329,3,2023-09-04T21:41:58.050326,
bi_level_pyspark_df_nested,fluent,900000,100,5.525468,3,2023-09-04T21:42:03.732005,
bi_level_pyspark_df_nested,fluent,900000,1000,8.479076,3,2023-09-04T21:42:12.355522,
bi_level_pyspark_df_window,fluent,900000,1,7.989618,3,2023-09-04T21:42:20.488623,
bi_level_pyspark_df_window,fluent,900000,10,6.665581,3,2023-09-04T21:42:27.289210,
bi_level_pyspark_df_window,fluent,900000,100,8.084663,3,2023-09-04T21:42:35.523072,
bi_level_pyspark_df_window,fluent,900000,1000,16.640187,3,2023-09-04T21:42:52.304991,
bi_level_pyspark_rdd_reduce_1,rdd,900000,1,88.169317,3,2023-09-04T21:44:20.610489,
bi_level_pyspark_rdd_reduce_1,rdd,900000,10,184.148535,3,2023-09-04T21:47:24.900542,
bi_level_pyspark_rdd_reduce_1,rdd,900000,100,1132.200239,3,2023-09-04T22:06:17.244816,
bi_level_pyspark_rdd_reduce_1,rdd,900000,1000,10625.620527,3,2023-09-05T01:03:23.010318,
bi_level_pyspark_rdd_reduce_2,rdd,900000,1,81.907461,3,2023-09-05T01:04:45.068796,
bi_level_pyspark_rdd_reduce_2,rdd,900000,10,113.538314,3,2023-09-05T01:06:38.758336,
bi_level_pyspark_rdd_reduce_2,rdd,900000,100,430.377747,3,2023-09-05T01:13:49.276685,
bi_level_pyspark_rdd_reduce_2,rdd,900000,1000,3613.786515,3,2023-09-05T02:14:03.211926,
bi_level_pyspark_rdd_map_part,rdd,900000,1,87.502982,3,2023-09-05T02:15:30.856941,
bi_level_pyspark_rdd_map_part,rdd,900000,10,182.795582,3,2023-09-05T02:18:33.800551,
bi_level_pyspark_rdd_map_part,rdd,900000,100,1132.830763,3,2023-09-05T02:37:26.770678,
bi_level_pyspark_rdd_map_part,rdd,900000,1000,10636.124689,3,2023-09-05T05:34:43.044150,
 strategy,interface,num_data_points,relative_cardinality,elapsed_time,record_count,engine,finished_at,
bi_level_pyspark_sql_join,sql,90,1,2.201445,3,pyspark,2024-10-08T21:06:45.132811,
bi_level_pyspark_df_join,fluent,90,1,0.876925,3,pyspark,2024-10-08T21:06:46.196776,
bi_level_pyspark_df_grp_pandas,pandas,90,1,3.762991,3,pyspark,2024-10-08T21:06:50.134517,
bi_level_pyspark_df_grp_pandas_numba,pandas,90,1,6.946693,3,pyspark,2024-10-08T21:06:57.250751,
bi_level_pyspark_sql_nested,sql,90,1,0.885039,3,pyspark,2024-10-08T21:06:58.320483,
bi_level_pyspark_df_nested,fluent,90,1,0.796493,3,pyspark,2024-10-08T21:06:59.287478,
bi_level_pyspark_df_window,fluent,90,1,2.465726,3,pyspark,2024-10-08T21:07:01.927897,
bi_level_pyspark_rdd_grp_map,rdd,90,1,48.379847,3,pyspark,2024-10-08T21:07:50.471727,
bi_level_pyspark_rdd_reduce_1,rdd,90,1,45.729367,3,pyspark,2024-10-08T21:08:36.369925,
bi_level_pyspark_rdd_reduce_2,rdd,90,1,41.568270,3,pyspark,2024-10-08T21:09:18.125776,
bi_level_pyspark_rdd_map_part,rdd,90,1,32.163284,3,pyspark,2024-10-08T21:09:50.469715,
 strategy,interface,num_data_points,relative_cardinality,elapsed_time,record_count,engine,finished_at,
bi_level_pyspark_rdd_map_part,rdd,90,1,26.060369,3,pyspark,2024-10-08T22:08:05.990840,
bi_level_pyspark_df_join,fluent,90,1,1.584984,3,pyspark,2024-10-08T22:08:07.728865,
bi_level_pyspark_df_nested,fluent,900000,1,2.812325,3,pyspark,2024-10-08T22:08:10.693358,
bi_level_pyspark_df_nested,fluent,900000,100,3.294426,3,pyspark,2024-10-08T22:08:14.140048,
bi_level_pyspark_rdd_grp_map,rdd,90,1,33.485568,3,pyspark,2024-10-08T22:08:47.773510,
bi_level_pyspark_sql_nested,sql,900000,10,2.322020,3,pyspark,2024-10-08T22:08:50.250269,
bi_level_pyspark_sql_nested,sql,900000,1,2.135100,3,pyspark,2024-10-08T22:08:52.542035,
bi_level_pyspark_df_nested,fluent,90,1,0.331492,3,pyspark,2024-10-08T22:08:53.020436,
bi_level_pyspark_df_window,fluent,900000,1000,7.708983,3,pyspark,2024-10-08T22:09:00.898805,
bi_level_pyspark_rdd_reduce_1,rdd,900000,1000,124.230620,3,pyspark,2024-10-08T22:11:05.278144,
bi_level_pyspark_sql_join,sql,900000,1000,9.398073,3,pyspark,2024-10-08T22:11:14.839874,
bi_level_pyspark_df_grp_pandas,pandas,900000,10,13.747467,3,pyspark,2024-10-08T22:11:28.735275,
 strategy,interface,num_data_points,relative_cardinality,elapsed_time,record_count,engine,finished_at,
bi_level_pyspark_rdd_reduce_2,rdd,900000,1,122.350221,3,pyspark,2024-10-09T06:16:09.495209,
bi_level_pyspark_rdd_reduce_2,rdd,900000,100,1551.352633,3,pyspark,2024-10-09T06:42:01.008550,
bi_level_pyspark_sql_nested,sql,90,1,1.898784,3,pyspark,2024-10-09T06:42:03.064437,
bi_level_pyspark_rdd_reduce_1,rdd,900000,10,122.971468,3,pyspark,2024-10-09T06:44:06.200305,
bi_level_pyspark_rdd_map_part,rdd,90,1,25.798026,3,pyspark,2024-10-09T06:44:32.155730,
bi_level_pyspark_rdd_map_part,rdd,90,1,25.866102,3,pyspark,2024-10-09T06:44:58.181213,
bi_level_pyspark_rdd_map_part,rdd,900000,100,1541.641094,3,pyspark,2024-10-09T07:10:39.977170,
bi_level_pyspark_df_grp_pandas,pandas,900000,100,8.569304,3,pyspark,2024-10-09T07:10:48.703561,
bi_level_pyspark_sql_nested,sql,900000,100,2.808042,3,pyspark,2024-10-09T07:10:51.665142,
bi_level_pyspark_rdd_map_part,rdd,900000,100,1541.440384,3,pyspark,2024-10-09T07:36:33.254466,
bi_level_pyspark_df_grp_pandas,pandas,900000,10,7.169470,3,pyspark,2024-10-09T07:36:40.577196,
bi_level_pyspark_rdd_reduce_1,rdd,900000,1,123.352607,3,pyspark,2024-10-09T07:38:44.086743,
bi_level_pyspark_df_grp_pandas_numba,pandas,900000,10,10.332551,3,pyspark,2024-10-09T07:38:54.572166,
bi_level_pyspark_df_grp_pandas,pandas,900000,10,6.893241,3,pyspark,2024-10-09T07:39:01.616851,
bi_level_pyspark_df_grp_pandas_numba,pandas,90,1,5.910755,3,pyspark,2024-10-09T07:39:07.697951,
bi_level_pyspark_df_window,fluent,900000,10,4.173808,3,pyspark,2024-10-09T07:39:12.035164,
bi_level_pyspark_rdd_grp_map,rdd,90,1,33.066753,3,pyspark,2024-10-09T07:39:45.252792,
bi_level_pyspark_rdd_reduce_1,rdd,90,1,34.772992,3,pyspark,2024-10-09T07:40:20.180670,
bi_level_pyspark_rdd_map_part,rdd,900000,10,243.665650,3,pyspark,2024-10-09T07:44:24.005009,
bi_level_pyspark_sql_nested,sql,900000,1,2.348656,3,pyspark,2024-10-09T07:44:26.505121,
