# 2023-09-03
 status,strategy_name,interface,num_students,num_source_rows,section_maximum,elapsed_time,num_output_rows,finished_at,
success,section_py_only_single_threaded,python,1000,49000,49,0.084938,1000,2023-09-03T15:57:24.267264,
 status,strategy_name,interface,num_students,num_source_rows,section_maximum,elapsed_time,num_output_rows,finished_at,
success,section_py_only_single_threaded,python,10,490,49,0.000993,10,2023-12-25T14:06:08.366688,
 status,strategy_name,interface,num_students,num_source_rows,section_maximum,elapsed_time,num_output_rows,finished_at,
success,section_py_only_single_threaded,python,10,490,49,0.014245,10,2023-12-30T10:19:22.719876,
 status,strategy_name,interface,num_students,num_source_rows,section_maximum,elapsed_time,num_output_rows,finished_at,
success,section_py_only_single_threaded,python,10,490,49,0.000000,10,2023-12-30T10:38:45.904406,
 status,strategy_name,interface,num_students,num_source_rows,section_maximum,elapsed_time,num_output_rows,finished_at,
success,section_py_only_single_threaded,python,10,490,49,0.001001,10,2023-12-30T10:56:56.135091,
 status,strategy_name,interface,num_students,num_source_rows,section_maximum,elapsed_time,num_output_rows,finished_at,
success,section_py_only_single_threaded,python,1,49,49,0.010306,1,2023-12-30T10:58:00.657767,
 status,strategy_name,interface,num_students,num_source_rows,section_maximum,elapsed_time,num_output_rows,finished_at,
success,section_py_only_single_threaded,python,1,49,49,0.013801,1,2024-01-07T16:08:30.107702,
 status,strategy_name,interface,num_students,num_source_rows,section_maximum,elapsed_time,num_output_rows,finished_at,
success,section_py_only_single_threaded,python,1,49,49,0.026280,1,2024-01-08T21:20:54.962177,
 status,strategy_name,interface,num_students,num_source_rows,section_maximum,elapsed_time,num_output_rows,finished_at,
success,section_py_only_single_threaded,python,1,49,49,0.008678,1,2024-06-29T23:21:14.245971,
 status,strategy_name,interface,num_students,num_source_rows,section_maximum,elapsed_time,num_output_rows,finished_at,
success,section_py_only_single_threaded,python,1,49,49,0.000000,1,2024-06-29T23:41:01.104513,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,num_students,section_maximum,status,strategy_name,
0.09596991539001465,python_only,2024-11-02T11:37:03.962440,python,python,1000,49000,1000,49,success,section_py_only_single_threaded,
0.7921674251556396,python_only,2024-11-02T11:37:04.873207,python,python,10000,490000,10000,49,success,section_py_only_single_threaded,
0.06054544448852539,python_only,2024-11-02T11:37:05.047282,python,python,1000,49000,1000,49,success,section_py_only_single_threaded,
0.05381608009338379,python_only,2024-11-02T11:37:05.213979,python,python,1000,49000,1000,49,success,section_py_only_single_threaded,
0.012349843978881836,python_only,2024-11-02T11:37:05.339733,python,python,10,490,10,49,success,section_py_only_single_threaded,
0.06519365310668945,python_only,2024-11-02T11:37:05.517327,python,python,1000,49000,1000,49,success,section_py_only_single_threaded,
0.028814315795898438,python_only,2024-11-02T11:37:05.660138,python,python,100,4900,100,49,success,section_py_only_single_threaded,
0.011678934097290039,python_only,2024-11-02T11:37:05.784178,python,python,100,4900,100,49,success,section_py_only_single_threaded,
0.00027441978454589844,python_only,2024-11-02T11:37:05.897469,python,python,1,49,1,49,success,section_py_only_single_threaded,
0.009489774703979492,python_only,2024-11-02T11:37:06.021518,python,python,100,4900,100,49,success,section_py_only_single_threaded,
0.0009257793426513672,python_only,2024-11-02T11:37:06.135952,python,python,1,49,1,49,success,section_py_only_single_threaded,
0.010882139205932617,python_only,2024-11-02T11:37:06.259529,python,python,100,4900,100,49,success,section_py_only_single_threaded,
0.05992460250854492,python_only,2024-11-02T11:37:06.430995,python,python,1000,49000,1000,49,success,section_py_only_single_threaded,
0.002562284469604492,python_only,2024-11-02T11:37:06.546525,python,python,10,490,10,49,success,section_py_only_single_threaded,
0.058919429779052734,python_only,2024-11-02T11:37:06.718224,python,python,1000,49000,1000,49,success,section_py_only_single_threaded,
0.001638174057006836,python_only,2024-11-02T11:37:06.836444,python,python,1,49,1,49,success,section_py_only_single_threaded,
0.541851282119751,python_only,2024-11-02T11:37:07.499472,python,python,10000,490000,10000,49,success,section_py_only_single_threaded,
0.011354446411132812,python_only,2024-11-02T11:37:07.624434,python,python,100,4900,100,49,success,section_py_only_single_threaded,
0.012446403503417969,python_only,2024-11-02T11:37:07.749051,python,python,100,4900,100,49,success,section_py_only_single_threaded,
0.5406231880187988,python_only,2024-11-02T11:37:08.405557,python,python,10000,490000,10000,49,success,section_py_only_single_threaded,
0.5465407371520996,python_only,2024-11-02T11:37:09.068295,python,python,10000,490000,10000,49,success,section_py_only_single_threaded,
0.5851647853851318,python_only,2024-11-02T11:37:09.770912,python,python,10000,490000,10000,49,success,section_py_only_single_threaded,
0.5572478771209717,python_only,2024-11-02T11:37:10.445094,python,python,10000,490000,10000,49,success,section_py_only_single_threaded,
0.0037331581115722656,python_only,2024-11-02T11:37:10.565036,python,python,10,490,10,49,success,section_py_only_single_threaded,
0.013695240020751953,python_only,2024-11-02T11:37:10.692019,python,python,100,4900,100,49,success,section_py_only_single_threaded,
0.0007281303405761719,python_only,2024-11-02T11:37:10.805287,python,python,1,49,1,49,success,section_py_only_single_threaded,
0.0027353763580322266,python_only,2024-11-02T11:37:10.921115,python,python,10,490,10,49,success,section_py_only_single_threaded,
0.000728607177734375,python_only,2024-11-02T11:37:11.038012,python,python,1,49,1,49,success,section_py_only_single_threaded,
0.551689624786377,python_only,2024-11-02T11:37:11.708745,python,python,10000,490000,10000,49,success,section_py_only_single_threaded,
0.5598306655883789,python_only,2024-11-02T11:37:12.385031,python,python,10000,490000,10000,49,success,section_py_only_single_threaded,
0.0025866031646728516,python_only,2024-11-02T11:37:12.502144,python,python,10,490,10,49,success,section_py_only_single_threaded,
0.0008172988891601562,python_only,2024-11-02T11:37:12.617350,python,python,1,49,1,49,success,section_py_only_single_threaded,
0.009968996047973633,python_only,2024-11-02T11:37:12.741448,python,python,100,4900,100,49,success,section_py_only_single_threaded,
0.5448319911956787,python_only,2024-11-02T11:37:13.402787,python,python,10000,490000,10000,49,success,section_py_only_single_threaded,
0.01251673698425293,python_only,2024-11-02T11:37:13.528461,python,python,100,4900,100,49,success,section_py_only_single_threaded,
0.0009441375732421875,python_only,2024-11-02T11:37:13.643342,python,python,1,49,1,49,success,section_py_only_single_threaded,
0.0011246204376220703,python_only,2024-11-02T11:37:13.759209,python,python,1,49,1,49,success,section_py_only_single_threaded,
0.0007433891296386719,python_only,2024-11-02T11:37:13.874802,python,python,10,490,10,49,success,section_py_only_single_threaded,
0.05749249458312988,python_only,2024-11-02T11:37:14.044551,python,python,1000,49000,1000,49,success,section_py_only_single_threaded,
0.0010631084442138672,python_only,2024-11-02T11:37:14.160197,python,python,1,49,1,49,success,section_py_only_single_threaded,
0.0540311336517334,python_only,2024-11-02T11:37:14.327067,python,python,1000,49000,1000,49,success,section_py_only_single_threaded,
0.058242082595825195,python_only,2024-11-02T11:37:14.497182,python,python,1000,49000,1000,49,success,section_py_only_single_threaded,
0.0037658214569091797,python_only,2024-11-02T11:37:14.613847,python,python,10,490,10,49,success,section_py_only_single_threaded,
0.0008869171142578125,python_only,2024-11-02T11:37:14.730002,python,python,1,49,1,49,success,section_py_only_single_threaded,
0.00629115104675293,python_only,2024-11-02T11:37:14.849567,python,python,100,4900,100,49,success,section_py_only_single_threaded,
0.003194570541381836,python_only,2024-11-02T11:37:14.967902,python,python,10,490,10,49,success,section_py_only_single_threaded,
0.05972576141357422,python_only,2024-11-02T11:37:15.141245,python,python,1000,49000,1000,49,success,section_py_only_single_threaded,
0.5441534519195557,python_only,2024-11-02T11:37:15.802741,python,python,10000,490000,10000,49,success,section_py_only_single_threaded,
0.0030050277709960938,python_only,2024-11-02T11:37:15.920623,python,python,10,490,10,49,success,section_py_only_single_threaded,
0.000762939453125,python_only,2024-11-02T11:37:16.035466,python,python,10,490,10,49,success,section_py_only_single_threaded,
# Added -O flag to the python command
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,num_students,section_maximum,status,strategy_name,
5.613814830780029,python_only,2024-11-03T08:35:23.083068,python,python,100000,4900000,100000,49,success,section_py_only_single_threaded,
