 strategy_name,interface,num_source_rows,elapsed_time,record_count,engine,finished_at,
vanilla_py_st_pd_grp_numba,pandas,9000000,0.885336,9,python_single_threaded,2024-07-07T16:13:57.631186,
 strategy_name,interface,num_source_rows,elapsed_time,record_count,engine,finished_at,
vanilla_py_st_pd_grp_numpy,pandas,9,0.038232,9,python_single_threaded,2024-10-08T21:45:45.121900,
vanilla_py_st_pd_grp_numpy,pandas,9,0.005118,9,python_single_threaded,2024-10-08T21:45:45.457341,
vanilla_py_st_pd_grp_numpy,pandas,9,0.006516,9,python_single_threaded,2024-10-08T21:45:45.641537,
vanilla_py_st_pd_grp_numpy,pandas,9,0.012111,9,python_single_threaded,2024-10-08T21:45:45.827978,
vanilla_py_st_pd_grp_numpy,pandas,9,0.006525,9,python_single_threaded,2024-10-08T21:45:45.998512,
vanilla_py_st_pd_grp_numpy,pandas,9,0.010967,9,python_single_threaded,2024-10-08T21:45:46.175424,
vanilla_py_st_pd_grp_numpy,pandas,9,0.005336,9,python_single_threaded,2024-10-08T21:45:46.338690,
vanilla_py_st_pd_grp_numpy,pandas,9,0.015318,9,python_single_threaded,2024-10-08T21:45:46.510637,
vanilla_py_st_pd_grp_numpy,pandas,9,0.013620,9,python_single_threaded,2024-10-08T21:45:46.680346,
vanilla_py_st_pd_grp_numpy,pandas,9,0.007020,9,python_single_threaded,2024-10-08T21:45:46.845342,
vanilla_py_st_pd_grp_numpy,pandas,90,0.006522,9,python_single_threaded,2024-10-08T21:45:47.014114,
vanilla_py_st_pd_grp_numpy,pandas,90,0.008943,9,python_single_threaded,2024-10-08T21:45:47.186379,
vanilla_py_st_pd_grp_numpy,pandas,90,0.013776,9,python_single_threaded,2024-10-08T21:45:47.355374,
vanilla_py_st_pd_grp_numpy,pandas,90,0.005019,9,python_single_threaded,2024-10-08T21:45:47.514004,
vanilla_py_st_pd_grp_numpy,pandas,90,0.006586,9,python_single_threaded,2024-10-08T21:45:47.679658,
vanilla_py_st_pd_grp_numpy,pandas,90,0.020474,9,python_single_threaded,2024-10-08T21:45:47.858267,
vanilla_py_st_pd_grp_numpy,pandas,90,0.006068,9,python_single_threaded,2024-10-08T21:45:48.023693,
vanilla_py_st_pd_grp_numpy,pandas,90,0.007011,9,python_single_threaded,2024-10-08T21:45:48.194009,
vanilla_py_st_pd_grp_numpy,pandas,90,0.008090,9,python_single_threaded,2024-10-08T21:45:48.365322,
vanilla_py_st_pd_grp_numpy,pandas,90,0.009529,9,python_single_threaded,2024-10-08T21:45:48.535675,
vanilla_py_st_pd_grp_numpy,pandas,900,0.008529,9,python_single_threaded,2024-10-08T21:45:48.716672,
vanilla_py_st_pd_grp_numpy,pandas,900,0.007208,9,python_single_threaded,2024-10-08T21:45:48.883508,
vanilla_py_st_pd_grp_numpy,pandas,900,0.006642,9,python_single_threaded,2024-10-08T21:45:49.048866,
vanilla_py_st_pd_grp_numpy,pandas,900,0.004572,9,python_single_threaded,2024-10-08T21:45:49.219353,
vanilla_py_st_pd_grp_numpy,pandas,900,0.004283,9,python_single_threaded,2024-10-08T21:45:49.383875,
vanilla_py_st_pd_grp_numpy,pandas,900,0.005010,9,python_single_threaded,2024-10-08T21:45:49.545489,
vanilla_py_st_pd_grp_numpy,pandas,900,0.010544,9,python_single_threaded,2024-10-08T21:45:49.710661,
vanilla_py_st_pd_grp_numpy,pandas,900,0.010069,9,python_single_threaded,2024-10-08T21:45:49.891740,
vanilla_py_st_pd_grp_numpy,pandas,900,0.015079,9,python_single_threaded,2024-10-08T21:45:50.073143,
vanilla_py_st_pd_grp_numpy,pandas,900,0.004516,9,python_single_threaded,2024-10-08T21:45:50.240190,
vanilla_py_st_pd_grp_numpy,pandas,9000,0.011666,9,python_single_threaded,2024-10-08T21:45:50.410323,
vanilla_py_st_pd_grp_numpy,pandas,9000,0.010609,9,python_single_threaded,2024-10-08T21:45:50.582364,
vanilla_py_st_pd_grp_numpy,pandas,9000,0.016516,9,python_single_threaded,2024-10-08T21:45:50.757897,
vanilla_py_st_pd_grp_numpy,pandas,9000,0.005600,9,python_single_threaded,2024-10-08T21:45:50.925518,
