 strategy_name,interface,num_source_rows,relative_cardinality_between_groupings,elapsed_time,num_output_rows,engine,finished_at,
bi_level_py_st_pd_grp_numpy,pandas,90,1,0.009036,3,python_single_threaded,2024-10-09T15:36:10.591049,
bi_level_py_st_pd_grp_numpy,pandas,90,1,0.004010,3,python_single_threaded,2024-10-09T15:36:10.743454,
bi_level_py_st_pd_grp_numpy,pandas,900000,1000,0.882164,3,python_single_threaded,2024-10-09T15:36:11.774668,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.085532,3,python_single_threaded,2024-10-09T15:36:12.006540,
bi_level_py_st_pd_grp_numpy,pandas,900000,1000,0.882745,3,python_single_threaded,2024-10-09T15:36:13.032897,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.086012,3,python_single_threaded,2024-10-09T15:36:13.262679,
bi_level_py_st_pd_grp_numpy,pandas,90,1,0.006027,3,python_single_threaded,2024-10-09T15:36:13.414145,
bi_level_py_st_pd_grp_numpy,pandas,900000,100,0.151010,3,python_single_threaded,2024-10-09T15:36:13.713407,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.078010,3,python_single_threaded,2024-10-09T15:36:13.935813,
bi_level_py_st_pd_grp_numpy,pandas,900000,100,0.164602,3,python_single_threaded,2024-10-09T15:36:14.242680,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.081009,3,python_single_threaded,2024-10-09T15:36:14.467967,
bi_level_py_st_pd_grp_numpy,pandas,900000,1000,0.884150,3,python_single_threaded,2024-10-09T15:36:15.493361,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.085520,3,python_single_threaded,2024-10-09T15:36:15.722838,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.077011,3,python_single_threaded,2024-10-09T15:36:15.944001,
bi_level_py_st_pd_grp_numpy,pandas,90,1,0.008014,3,python_single_threaded,2024-10-09T15:36:16.095992,
bi_level_py_st_pd_grp_numpy,pandas,900000,1,0.075464,3,python_single_threaded,2024-10-09T15:36:16.318563,
bi_level_py_st_pd_grp_numpy,pandas,900000,10,0.085018,3,python_single_threaded,2024-10-09T15:36:16.546887,
