 strategy_name,interface,num_source_rows,elapsed_time,relative_cardinality,engine,finished_at,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.175383,3,dask,2024-10-08T21:52:17.468633,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.222942,3,dask,2024-10-08T21:52:17.841072,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,8.069242,3,dask,2024-10-08T21:52:26.057298,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,1.020290,3,dask,2024-10-08T21:52:27.230082,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,1.093093,3,dask,2024-10-08T21:52:28.473187,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,1.017572,3,dask,2024-10-08T21:52:29.984398,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1000,8.306469,3,dask,2024-10-08T21:52:38.445171,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.179252,3,dask,2024-10-08T21:52:38.775674,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1000,8.460109,3,dask,2024-10-08T21:52:47.965310,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,8.198808,3,dask,2024-10-08T21:52:56.587361,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1000,8.589847,3,dask,2024-10-08T21:53:05.329292,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.244466,3,dask,2024-10-08T21:53:05.729076,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1000,8.573764,3,dask,2024-10-08T21:53:14.796077,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,1.025992,3,dask,2024-10-08T21:53:15.977965,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.353215,3,dask,2024-10-08T21:53:16.483891,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,1.019866,3,dask,2024-10-08T21:53:17.657106,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.293450,3,dask,2024-10-08T21:53:18.106014,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.229808,3,dask,2024-10-08T21:53:18.829724,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,1.064808,3,dask,2024-10-08T21:53:20.048278,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.290032,3,dask,2024-10-08T21:53:20.499310,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.339944,3,dask,2024-10-08T21:53:21.330475,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.246853,3,dask,2024-10-08T21:53:21.730427,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,1.086659,3,dask,2024-10-08T21:53:23.296503,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.187837,3,dask,2024-10-08T21:53:23.955922,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.233725,3,dask,2024-10-08T21:53:24.345386,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,1.067254,3,dask,2024-10-08T21:53:25.568556,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,1.016902,3,dask,2024-10-08T21:53:27.065537,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,8.410784,3,dask,2024-10-08T21:53:35.635222,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,1.071562,3,dask,2024-10-08T21:53:36.863057,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,1.045398,3,dask,2024-10-08T21:53:38.614547,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,8.390110,3,dask,2024-10-08T21:53:47.159125,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,1.066042,3,dask,2024-10-08T21:53:48.381522,
bi_level_dask_sql_nested_no_gpu,ddf,900000,100,1.003618,3,dask,2024-10-08T21:53:49.536332,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,8.492230,3,dask,2024-10-08T21:53:58.456030,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.336084,3,dask,2024-10-08T21:53:58.946681,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.301233,3,dask,2024-10-08T21:53:59.402440,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.192587,3,dask,2024-10-08T21:53:59.753047,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.368569,3,dask,2024-10-08T21:54:00.568616,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1,0.181243,3,dask,2024-10-08T21:54:00.903205,
bi_level_dask_sql_nested_no_gpu,ddf,900000,1000,8.642001,3,dask,2024-10-08T21:54:09.700191,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1000,8.431932,3,dask,2024-10-08T21:54:18.294115,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,100,1.043249,3,dask,2024-10-08T21:54:19.491632,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.352632,3,dask,2024-10-08T21:54:19.995351,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.288144,3,dask,2024-10-08T21:54:20.437621,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,10,0.337945,3,dask,2024-10-08T21:54:20.930112,
bi_level_dask_sql_nested_no_gpu,ddf,900000,10,0.275522,3,dask,2024-10-08T21:54:21.359255,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1,0.223418,3,dask,2024-10-08T21:54:21.733064,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,10,0.335816,3,dask,2024-10-08T21:54:22.222298,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,100,1.038728,3,dask,2024-10-08T21:54:23.413354,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.236674,3,dask,2024-10-08T21:54:23.803297,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.231672,3,dask,2024-10-08T21:54:24.472581,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1,0.232039,3,dask,2024-10-08T21:54:24.853016,
bi_level_dask_sql_single_join_no_gpu,ddf,900000,1000,8.352208,3,dask,2024-10-08T21:54:33.359672,
bi_level_dask_sql_temp_join_no_gpu,ddf,900000,1000,8.634136,3,dask,2024-10-08T21:54:42.144933,
