 strategy,interface,num_data_points,elapsed_time,record_count,engine,finished_at,
vanilla_dask_sql_no_gpu,ddf,90,0.105274,9,dask,2024-07-21T10:45:43.299981,
vanilla_dask_ddf_grp_apply,ddf,90000,0.130387,9,dask,2024-07-21T10:45:43.573876,
vanilla_dask_ddf_grp_udaf,ddf,90,0.124985,9,dask,2024-07-21T10:45:43.844183,
vanilla_dask_sql_no_gpu,ddf,9000,0.103867,9,dask,2024-07-21T10:45:44.092942,
vanilla_dask_ddf_grp_apply,ddf,9000,0.105003,9,dask,2024-07-21T10:45:44.342230,
vanilla_dask_sql_no_gpu,ddf,900000,0.160033,9,dask,2024-07-21T10:45:44.960136,
vanilla_dask_ddf_grp_apply,ddf,9,0.053987,9,dask,2024-07-21T10:45:45.158623,
vanilla_dask_sql_no_gpu,ddf,9000,0.106912,9,dask,2024-07-21T10:45:45.724206,
vanilla_dask_sql_no_gpu,ddf,9000,0.104324,9,dask,2024-07-21T10:45:45.973979,
vanilla_dask_ddf_grp_udaf,ddf,900,0.124501,9,dask,2024-07-21T10:45:46.398842,
vanilla_dask_ddf_grp_apply,ddf,90,0.095003,9,dask,2024-07-21T10:45:46.639365,
vanilla_dask_ddf_grp_udaf,ddf,900,0.123304,9,dask,2024-07-21T10:45:46.908176,
vanilla_dask_sql_no_gpu,ddf,9000000,0.864895,9,dask,2024-07-21T10:45:47.916597,
vanilla_dask_ddf_grp_apply,ddf,90000,0.130821,9,dask,2024-07-21T10:45:48.191450,
vanilla_dask_ddf_grp_udaf,ddf,9,0.083622,9,dask,2024-07-21T10:45:48.574062,
vanilla_dask_ddf_grp_apply,ddf,9,0.054088,9,dask,2024-07-21T10:45:48.772417,
vanilla_dask_ddf_grp_apply,ddf,90,0.089116,9,dask,2024-07-21T10:45:49.012387,
vanilla_dask_sql_no_gpu,ddf,9000,0.103459,9,dask,2024-07-21T10:45:49.260806,
vanilla_dask_sql_no_gpu,ddf,9000000,0.864026,9,dask,2024-07-21T10:45:50.268908,
vanilla_dask_sql_no_gpu,ddf,90,0.101411,9,dask,2024-07-21T10:45:50.516340,
vanilla_dask_sql_no_gpu,ddf,90000,0.108006,9,dask,2024-07-21T10:45:50.768399,
vanilla_dask_ddf_grp_udaf,ddf,9000,0.144345,9,dask,2024-07-21T10:45:51.056573,
