 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
cond_pyspark_df_grp_pandas,pandas,90,4.164559,9,pyspark,2023-12-30T10:37:08.241851,
cond_pyspark_df_grp_pandas_numba,pandas,90,10.970934,9,pyspark,2023-12-30T10:37:19.372009,
cond_pyspark_sql_nested,sql,90,0.771605,9,pyspark,2023-12-30T10:37:20.311148,
cond_pyspark_df_nested,fluent,90,0.823468,9,pyspark,2023-12-30T10:37:21.299734,
cond_pyspark_df_window,fluent,90,0.972450,9,pyspark,2023-12-30T10:37:22.428501,
cond_pyspark_rdd_grp_map,rdd,90,33.193063,9,pyspark,2023-12-30T10:37:55.779803,
cond_pyspark_rdd_reduce,rdd,90,25.324475,9,pyspark,2023-12-30T10:38:21.265787,
cond_pyspark_rdd_map_part,rdd,90,23.392007,9,pyspark,2023-12-30T10:38:44.800360,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
cond_pyspark_sql_join,sql,90,0.806515,9,pyspark,2023-12-31T23:27:06.625868,
cond_pyspark_df_join,fluent,90,0.714981,9,pyspark,2023-12-31T23:27:07.503676,
cond_pyspark_sql_null,sql,90,0.618723,9,pyspark,2023-12-31T23:27:08.282327,
cond_pyspark_df_null,fluent,90,0.330610,9,pyspark,2023-12-31T23:27:08.772849,
cond_pyspark_df_zero,fluent,90,0.498032,9,pyspark,2023-12-31T23:27:09.425066,
cond_pyspark_df_grp_pandas,pandas,90,4.509263,9,pyspark,2023-12-31T23:27:14.095303,
cond_pyspark_df_grp_pandas_numba,pandas,90,11.022583,9,pyspark,2023-12-31T23:27:25.297859,
cond_pyspark_sql_nested,sql,90,0.758163,9,pyspark,2023-12-31T23:27:26.217059,
cond_pyspark_df_nested,fluent,90,0.815165,9,pyspark,2023-12-31T23:27:27.187971,
cond_pyspark_df_window,fluent,90,1.219641,9,pyspark,2023-12-31T23:27:28.575358,
cond_pyspark_rdd_grp_map,rdd,90,31.332089,9,pyspark,2023-12-31T23:28:00.057565,
cond_pyspark_rdd_reduce,rdd,90,24.901330,9,pyspark,2023-12-31T23:28:25.112069,
cond_pyspark_rdd_map_part,rdd,90,24.867032,9,pyspark,2023-12-31T23:28:50.144202,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
cond_pyspark_sql_join,sql,90,0.687323,9,pyspark,2024-01-07T16:06:55.020889,
cond_pyspark_df_join,fluent,90,0.708814,9,pyspark,2024-01-07T16:06:55.862922,
cond_pyspark_sql_null,sql,90,0.468100,9,pyspark,2024-01-07T16:06:56.464642,
cond_pyspark_df_null,fluent,90,0.280026,9,pyspark,2024-01-07T16:06:56.872351,
cond_pyspark_df_zero,fluent,90,0.438188,9,pyspark,2024-01-07T16:06:57.437423,
cond_pyspark_df_grp_pandas,pandas,90,4.175467,9,pyspark,2024-01-07T16:07:01.738620,
cond_pyspark_sql_nested,sql,90,0.729014,9,pyspark,2024-01-07T16:07:02.729947,
cond_pyspark_df_nested,fluent,90,0.701184,9,pyspark,2024-01-07T16:07:03.559045,
cond_pyspark_df_window,fluent,90,0.834799,9,pyspark,2024-01-07T16:07:04.520948,
cond_pyspark_rdd_grp_map,rdd,90,32.499538,9,pyspark,2024-01-07T16:07:37.153903,
cond_pyspark_rdd_reduce,rdd,90,25.722269,9,pyspark,2024-01-07T16:08:03.006110,
cond_pyspark_rdd_map_part,rdd,90,25.882846,9,pyspark,2024-01-07T16:08:29.020532,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
cond_pyspark_sql_join,sql,90,0.785386,9,pyspark,2024-01-08T21:14:19.528405,
cond_pyspark_df_join,fluent,90,0.755831,9,pyspark,2024-01-08T21:14:20.420549,
cond_pyspark_sql_null,sql,90,0.445431,9,pyspark,2024-01-08T21:14:20.996713,
cond_pyspark_df_null,fluent,90,0.311030,9,pyspark,2024-01-08T21:14:21.435744,
cond_pyspark_df_zero,fluent,90,0.429484,9,pyspark,2024-01-08T21:14:21.998632,
cond_pyspark_df_grp_pandas,pandas,90,4.536923,9,pyspark,2024-01-08T21:14:26.664272,
cond_pyspark_sql_nested,sql,90,0.670960,9,pyspark,2024-01-08T21:14:27.600794,
cond_pyspark_df_nested,fluent,90,0.684895,9,pyspark,2024-01-08T21:14:28.414867,
cond_pyspark_df_window,fluent,90,0.965377,9,pyspark,2024-01-08T21:14:29.510623,
cond_pyspark_rdd_grp_map,rdd,90,34.235917,9,pyspark,2024-01-08T21:15:03.873286,
cond_pyspark_rdd_reduce,rdd,90,27.137176,9,pyspark,2024-01-08T21:15:31.147230,
cond_pyspark_rdd_map_part,rdd,90,27.456748,9,pyspark,2024-01-08T21:15:58.740025,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
cond_pyspark_sql_join,sql,90,0.752803,9,pyspark,2024-06-29T22:57:30.551774,
cond_pyspark_df_join,fluent,90,0.458228,9,pyspark,2024-06-29T22:57:31.153694,
cond_pyspark_sql_null,sql,90,0.425826,9,pyspark,2024-06-29T22:57:31.718193,
cond_pyspark_df_null,fluent,90,0.212824,9,pyspark,2024-06-29T22:57:32.069965,
cond_pyspark_df_zero,fluent,90,0.414563,9,pyspark,2024-06-29T22:57:32.628962,
cond_pyspark_df_grp_pandas,pandas,90,2.798288,9,pyspark,2024-06-29T22:57:35.571231,
cond_pyspark_df_grp_pandas_numba,pandas,90,5.785562,9,pyspark,2024-06-29T22:57:41.507641,
cond_pyspark_sql_nested,sql,90,0.625085,9,pyspark,2024-06-29T22:57:42.279397,
cond_pyspark_df_nested,fluent,90,0.714764,9,pyspark,2024-06-29T22:57:43.133881,
cond_pyspark_df_window,fluent,90,0.835299,9,pyspark,2024-06-29T22:57:44.106250,
cond_pyspark_rdd_grp_map,rdd,90,38.168493,9,pyspark,2024-06-29T22:58:22.435704,
cond_pyspark_rdd_reduce,rdd,90,29.554223,9,pyspark,2024-06-29T22:58:52.128922,
cond_pyspark_rdd_map_part,rdd,90,29.765779,9,pyspark,2024-06-29T22:59:22.044976,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
cond_pyspark_sql_join,sql,90,1.487534,9,pyspark,2024-06-29T23:03:10.218840,
cond_pyspark_df_join,fluent,90,0.718296,9,pyspark,2024-06-29T23:03:11.081092,
cond_pyspark_sql_null,sql,90,0.567641,9,pyspark,2024-06-29T23:03:11.796753,
cond_pyspark_df_null,fluent,90,0.294925,9,pyspark,2024-06-29T23:03:12.242567,
cond_pyspark_df_zero,fluent,90,0.497360,9,pyspark,2024-06-29T23:03:12.882938,
cond_pyspark_df_grp_pandas,pandas,90,2.718958,9,pyspark,2024-06-29T23:03:15.750018,
cond_pyspark_df_grp_pandas_numba,pandas,90,5.696938,9,pyspark,2024-06-29T23:03:21.588848,
cond_pyspark_sql_nested,sql,90,0.740965,9,pyspark,2024-06-29T23:03:22.478280,
cond_pyspark_df_nested,fluent,90,0.778651,9,pyspark,2024-06-29T23:03:23.398823,
cond_pyspark_df_window,fluent,90,0.891381,9,pyspark,2024-06-29T23:03:24.435820,
cond_pyspark_rdd_grp_map,rdd,90,37.607778,9,pyspark,2024-06-29T23:04:02.190046,
cond_pyspark_rdd_reduce,rdd,90,30.134520,9,pyspark,2024-06-29T23:04:32.471034,
cond_pyspark_rdd_map_part,rdd,90,30.422438,9,pyspark,2024-06-29T23:05:03.036104,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
cond_pyspark_sql_join,sql,90,0.598915,9,pyspark,2024-06-29T23:39:12.263899,
cond_pyspark_df_join,fluent,90,0.406553,9,pyspark,2024-06-29T23:39:12.806762,
cond_pyspark_sql_null,sql,90,0.357219,9,pyspark,2024-06-29T23:39:13.296092,
cond_pyspark_df_null,fluent,90,0.276017,9,pyspark,2024-06-29T23:39:13.706926,
cond_pyspark_df_zero,fluent,90,0.322702,9,pyspark,2024-06-29T23:39:14.161749,
cond_pyspark_df_grp_pandas,pandas,90,2.334167,9,pyspark,2024-06-29T23:39:16.629542,
cond_pyspark_df_grp_pandas_numba,pandas,90,5.097061,9,pyspark,2024-06-29T23:39:21.863968,
cond_pyspark_sql_nested,sql,90,0.568221,9,pyspark,2024-06-29T23:39:22.577747,
cond_pyspark_df_nested,fluent,90,0.599427,9,pyspark,2024-06-29T23:39:23.316314,
cond_pyspark_df_window,fluent,90,0.674387,9,pyspark,2024-06-29T23:39:24.124762,
cond_pyspark_rdd_grp_map,rdd,90,37.414490,9,pyspark,2024-06-29T23:40:01.672695,
cond_pyspark_rdd_reduce,rdd,90,29.056991,9,pyspark,2024-06-29T23:40:30.869851,
cond_pyspark_rdd_map_part,rdd,90,29.059567,9,pyspark,2024-06-29T23:41:00.065938,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
cond_pyspark_sql_join,sql,90,0.717488,9,pyspark,2024-07-07T16:22:46.505335,
cond_pyspark_df_join,fluent,90,0.594509,9,pyspark,2024-07-07T16:22:47.244276,
cond_pyspark_sql_null,sql,90,0.537423,9,pyspark,2024-07-07T16:22:47.966948,
cond_pyspark_df_null,fluent,90,0.295771,9,pyspark,2024-07-07T16:22:48.443201,
cond_pyspark_df_zero,fluent,90,0.334888,9,pyspark,2024-07-07T16:22:48.944846,
cond_pyspark_df_grp_pandas,pandas,90,3.523291,9,pyspark,2024-07-07T16:22:52.612105,
cond_pyspark_df_grp_pandas_numba,pandas,90,7.234669,9,pyspark,2024-07-07T16:23:00.010859,
cond_pyspark_sql_nested,sql,90,0.622605,9,pyspark,2024-07-07T16:23:00.782474,
cond_pyspark_df_nested,fluent,90,0.648702,9,pyspark,2024-07-07T16:23:01.576025,
cond_pyspark_df_window,fluent,90,0.920293,9,pyspark,2024-07-07T16:23:02.643381,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
cond_pyspark_sql_join,sql,90,2.584539,9,pyspark,2024-10-08T21:10:44.407367,
cond_pyspark_df_join,fluent,90,1.221684,9,pyspark,2024-10-08T21:10:45.815975,
cond_pyspark_sql_null,sql,90,0.941735,9,pyspark,2024-10-08T21:10:46.923064,
cond_pyspark_df_null,fluent,90,0.456642,9,pyspark,2024-10-08T21:10:47.567248,
cond_pyspark_df_zero,fluent,90,0.694981,9,pyspark,2024-10-08T21:10:48.436040,
cond_pyspark_df_grp_pandas,pandas,90,4.970277,9,pyspark,2024-10-08T21:10:53.575465,
cond_pyspark_df_grp_pandas_numba,pandas,90,8.578723,9,pyspark,2024-10-08T21:11:02.310710,
cond_pyspark_sql_nested,sql,90,1.162804,9,pyspark,2024-10-08T21:11:03.642086,
cond_pyspark_df_nested,fluent,90,1.249008,9,pyspark,2024-10-08T21:11:05.052558,
cond_pyspark_df_window,fluent,90,1.627201,9,pyspark,2024-10-08T21:11:06.854865,
cond_pyspark_rdd_grp_map,rdd,90,46.570691,9,pyspark,2024-10-08T21:11:53.591082,
cond_pyspark_rdd_reduce,rdd,90,44.422572,9,pyspark,2024-10-08T21:12:38.187158,
cond_pyspark_rdd_map_part,rdd,90,35.919531,9,pyspark,2024-10-08T21:13:14.275625,
# Added -O flag to the python command
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
35.369622468948364,pyspark,2024-11-06T20:57:53.197991,rdd,python,9,90,cond_pyspark_rdd_grp_map,
31.871351718902588,pyspark,2024-11-06T20:58:25.215691,rdd,python,9,9,cond_pyspark_rdd_grp_map,
31.649610996246338,pyspark,2024-11-06T20:58:57.001626,rdd,python,9,900,cond_pyspark_rdd_grp_map,
32.89369821548462,pyspark,2024-11-06T20:59:30.033412,rdd,python,9,9000,cond_pyspark_rdd_grp_map,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
27.45320415496826,pyspark,2024-11-06T21:02:01.831549,rdd,python,9,900,cond_pyspark_rdd_map_part,
24.99686360359192,pyspark,2024-11-06T21:02:26.966828,rdd,python,9,90,cond_pyspark_rdd_map_part,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
27.229408740997314,pyspark,2024-11-06T21:07:01.803157,rdd,python,9,9,cond_pyspark_rdd_map_part,
24.031047582626343,pyspark,2024-11-06T21:07:25.976344,rdd,python,9,90,cond_pyspark_rdd_map_part,
24.363232135772705,pyspark,2024-11-06T21:07:50.476466,rdd,python,9,900,cond_pyspark_rdd_map_part,
24.129847764968872,pyspark,2024-11-06T21:08:14.748891,rdd,python,9,9000,cond_pyspark_rdd_map_part,
26.42561435699463,pyspark,2024-11-06T21:08:41.309620,rdd,python,9,90000,cond_pyspark_rdd_map_part,
112.33624053001404,pyspark,2024-11-06T21:10:33.779444,rdd,python,9,900000,cond_pyspark_rdd_map_part,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
34.51003384590149,pyspark,2024-11-06T21:29:00.988394,rdd,python,9,9,cond_pyspark_rdd_reduce,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
38.333677768707275,pyspark,2024-11-06T21:51:40.777650,rdd,python,9,9,cond_pyspark_rdd_reduce,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
33.9846887588501,pyspark,2024-11-06T21:53:46.015730,rdd,python,9,9,cond_pyspark_rdd_reduce,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
40.14796495437622,pyspark,2024-11-07T08:02:29.730480,rdd,python,9,9,cond_pyspark_rdd_reduce,
31.309581518173218,pyspark,2024-11-07T08:03:01.178146,rdd,python,9,90,cond_pyspark_rdd_reduce,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
5.761367082595825,pyspark,2024-11-07T08:27:51.368384,pandas,python,9,90,cond_pyspark_df_grp_pandas,
5.482675075531006,pyspark,2024-11-07T08:27:56.997717,pandas,python,9,90,cond_pyspark_df_grp_pandas_numba,
1.6458654403686523,pyspark,2024-11-07T08:27:58.795043,fluent,python,9,90,cond_pyspark_df_join,
1.0316112041473389,pyspark,2024-11-07T08:27:59.973639,fluent,python,9,90,cond_pyspark_df_nested,
0.511868953704834,pyspark,2024-11-07T08:28:00.625261,fluent,python,9,90,cond_pyspark_df_null,
1.0439164638519287,pyspark,2024-11-07T08:28:01.814085,fluent,python,9,90,cond_pyspark_df_window,
0.5754289627075195,pyspark,2024-11-07T08:28:02.530992,fluent,python,9,90,cond_pyspark_df_zero,
31.0558500289917,pyspark,2024-11-07T08:28:33.722916,rdd,python,9,90,cond_pyspark_rdd_grp_map,
23.487349033355713,pyspark,2024-11-07T08:28:57.349125,rdd,python,9,90,cond_pyspark_rdd_map_part,
31.05213975906372,pyspark,2024-11-07T08:29:28.550367,rdd,python,9,90,cond_pyspark_rdd_reduce,
0.8116998672485352,pyspark,2024-11-07T08:29:29.505562,sql,python,9,90,cond_pyspark_sql_join,
0.713740348815918,pyspark,2024-11-07T08:29:30.364576,sql,python,9,90,cond_pyspark_sql_nested,
0.37961244583129883,pyspark,2024-11-07T08:29:30.888292,sql,python,9,90,cond_pyspark_sql_null,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
62.44012475013733,pyspark,2024-11-07T10:06:44.344564,pandas,python,9,9000000,cond_pyspark_df_grp_pandas,
60.42161512374878,pyspark,2024-11-07T10:07:44.909755,pandas,python,9,9000000,cond_pyspark_df_grp_pandas_numba,
57.29568123817444,pyspark,2024-11-07T10:08:42.354294,fluent,python,9,9000000,cond_pyspark_df_join,
40.141714572906494,pyspark,2024-11-07T10:09:22.639688,fluent,python,9,9000000,cond_pyspark_df_nested,
36.101144552230835,pyspark,2024-11-07T10:09:58.881401,fluent,python,9,9000000,cond_pyspark_df_null,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
64.68779158592224,pyspark,2024-11-07T10:58:18.513085,pandas,python,9,9000000,cond_pyspark_df_grp_pandas,
63.855884313583374,pyspark,2024-11-07T10:59:22.511490,pandas,python,9,9000000,cond_pyspark_df_grp_pandas_numba,
56.85392212867737,pyspark,2024-11-07T11:00:19.513776,fluent,python,9,9000000,cond_pyspark_df_join,
49.26280212402344,pyspark,2024-11-07T11:01:08.929669,fluent,python,9,9000000,cond_pyspark_df_nested,
48.27857494354248,pyspark,2024-11-07T11:01:57.345369,fluent,python,9,9000000,cond_pyspark_df_null,
71.37880444526672,pyspark,2024-11-07T11:03:08.862585,fluent,python,9,9000000,cond_pyspark_df_window,
33.99242186546326,pyspark,2024-11-07T11:03:42.991631,fluent,python,9,9000000,cond_pyspark_df_zero,
944.3373317718506,pyspark,2024-11-07T11:19:27.464834,rdd,python,9,9000000,cond_pyspark_rdd_map_part,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
104.14355540275574,pyspark,2024-11-07T12:02:29.391213,pandas,python,9,9000000,cond_pyspark_df_grp_pandas,
86.7272686958313,pyspark,2024-11-07T12:03:56.261233,pandas,python,9,9000000,cond_pyspark_df_grp_pandas_numba,
57.016388177871704,pyspark,2024-11-07T12:04:53.427082,fluent,python,9,9000000,cond_pyspark_df_join,
42.6082022190094,pyspark,2024-11-07T12:05:36.182802,fluent,python,9,9000000,cond_pyspark_df_nested,
37.7925980091095,pyspark,2024-11-07T12:06:14.114009,fluent,python,9,9000000,cond_pyspark_df_null,
70.09812259674072,pyspark,2024-11-07T12:07:24.347808,fluent,python,9,9000000,cond_pyspark_df_window,
34.42748403549194,pyspark,2024-11-07T12:07:58.915627,fluent,python,9,9000000,cond_pyspark_df_zero,
52.648523807525635,pyspark,2024-11-07T12:08:51.703690,sql,python,9,9000000,cond_pyspark_sql_join,
57.94408869743347,pyspark,2024-11-07T12:09:49.782984,sql,python,9,9000000,cond_pyspark_sql_nested,
46.5975067615509,pyspark,2024-11-07T12:10:36.518006,sql,python,9,9000000,cond_pyspark_sql_null,
