# 2023-07-18
 status,strategy_name,interface,num_sources,num_source_rows,data_size_exponent,num_people_actual,elapsed_time,num_people_found,in_cloud_mode,can_assume_no_duplicates_per_partition,engine,finished_at
success,dedupe_pandas,pandas,6,5020,4,1000,43.35590195655823,1000,FALSE,TRUE,pyspark,2023-07-20T06:04:49.318979
success,dedupe_pandas,pandas,2,10200,4,10000,25.674687147140503,10000,FALSE,TRUE,pyspark,2023-07-20T06:05:15.400603
success,dedupe_pandas,pandas,3,20200,4,10000,382.86891627311707,10000,FALSE,TRUE,pyspark,2023-07-20T06:11:38.668678
success,dedupe_pandas,pandas,6,50200,5,10000,3470.0293831825256,10000,FALSE,TRUE,pyspark,2023-07-20T07:09:29.116145
success,dedupe_fluent_nested_python,fluent,2,11,1,10,1.0803368091583252,10,FALSE,TRUE,pyspark,2023-07-20T07:09:30.329212
success,dedupe_fluent_nested_python,fluent,3,21,1,10,0.5758373737335205,10,FALSE,TRUE,pyspark,2023-07-20T07:09:31.029362
success,dedupe_fluent_nested_python,fluent,6,51,2,10,0.6063151359558105,10,FALSE,TRUE,pyspark,2023-07-20T07:09:31.767498
success,dedupe_fluent_nested_python,fluent,2,102,2,100,0.6029067039489746,100,FALSE,TRUE,pyspark,2023-07-20T07:09:32.504609
success,dedupe_fluent_nested_python,fluent,3,202,2,100,0.653878927230835,100,FALSE,TRUE,pyspark,2023-07-20T07:09:33.293427
success,dedupe_fluent_nested_python,fluent,6,502,3,100,0.7934174537658691,100,FALSE,TRUE,pyspark,2023-07-20T07:09:34.226879
success,dedupe_fluent_nested_python,fluent,2,1020,3,1000,0.7731373310089111,1000,FALSE,TRUE,pyspark,2023-07-20T07:09:35.163819
success,dedupe_fluent_nested_python,fluent,3,2020,3,1000,3.96368670463562,1000,FALSE,TRUE,pyspark,2023-07-20T07:09:39.287253
success,dedupe_fluent_nested_python,fluent,6,5020,4,1000,13.403077602386475,1000,FALSE,TRUE,pyspark,2023-07-20T07:09:52.841429
success,dedupe_fluent_nested_python,fluent,2,10200,4,10000,13.665534019470215,10000,FALSE,TRUE,pyspark,2023-07-20T07:10:06.906968
success,dedupe_fluent_nested_python,fluent,3,20200,4,10000,134.54820227622986,10000,FALSE,TRUE,pyspark,2023-07-20T07:12:21.850387
success,dedupe_fluent_nested_python,fluent,6,50200,5,10000,432.2526762485504,10000,FALSE,TRUE,pyspark,2023-07-20T07:19:34.495001
success,dedupe_fluent_nested_withCol,fluent,2,11,1,10,1.8122851848602295,10,FALSE,TRUE,pyspark,2023-07-20T07:19:36.448533
