# 2023-09-03
success,section_pyspark_rdd_prep_mappart,rdd,1,49,49,42.087864,1,2023-12-30T11:01:03.031523,
success,section_pyspark_df_prep_txt,df,1,49,49,28.658528,1,2023-12-30T11:01:31.842283,
success,section_pyspark_df_prep_grp_csv,df,1,49,49,14.254533,1,2023-12-30T11:01:46.265159,
success,section_join_groupby,df,1,49,49,25.804409,1,2023-12-30T11:02:12.216242,
success,section_pyspark_rdd_join_mappart,rdd,1,49,49,128.713444,1,2023-12-30T11:04:21.090486,
 status,strategy_name,interface,num_students,num_source_rows,section_maximum,elapsed_time,num_output_rows,finished_at,
success,section_pyspark_rdd_mappart_single_threaded,rdd,1,49,49,1.759536,1,2024-01-07T16:08:31.999311,
success,section_pyspark_rdd_mappart_odd_even,rdd,1,49,49,76.891274,1,2024-01-07T16:09:49.030079,
success,section_pyspark_rdd_mappart_partials,rdd,1,49,49,15.059321,1,2024-01-07T16:10:04.224767,
success,section_pyspark_rdd_reduce_asymm_part,rdd,1,49,49,53.353399,1,2024-01-07T16:10:57.713234,
success,section_pyspark_rdd_prep_mappart,rdd,1,49,49,45.638483,1,2024-01-07T16:11:43.490864,
success,section_pyspark_df_prep_txt,df,1,49,49,28.152846,1,2024-01-07T16:12:11.792628,
success,section_pyspark_df_prep_grp_csv,df,1,49,49,15.838871,1,2024-01-07T16:12:27.764286,
success,section_join_groupby,df,1,49,49,26.977916,1,2024-01-07T16:12:54.879900,
success,section_pyspark_rdd_join_mappart,rdd,1,49,49,146.197751,1,2024-01-07T16:15:21.216994,
 status,strategy_name,interface,num_students,num_source_rows,section_maximum,elapsed_time,num_output_rows,finished_at,
success,section_pyspark_rdd_mappart_single_threaded,rdd,1,49,49,2.529859,1,2024-01-08T21:20:57.604484,
success,section_pyspark_rdd_mappart_odd_even,rdd,1,49,49,80.937293,1,2024-01-08T21:22:18.659987,
success,section_pyspark_rdd_mappart_partials,rdd,1,49,49,16.403160,1,2024-01-08T21:22:35.179766,
success,section_pyspark_rdd_reduce_asymm_part,rdd,1,49,49,57.536747,1,2024-01-08T21:23:32.837622,
success,section_pyspark_rdd_prep_mappart,rdd,1,49,49,47.985905,1,2024-01-08T21:24:20.940764,
success,section_pyspark_df_prep_txt,df,1,49,49,32.520308,1,2024-01-08T21:24:53.576901,
success,section_pyspark_df_prep_grp_csv,df,1,49,49,16.770818,1,2024-01-08T21:25:10.468214,
