 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_df_grp_builtin,sql,90,0.463218,9,pyspark,2024-01-07T16:03:17.975441,
vanilla_pyspark_df_grp_pandas,pandas,90,4.303015,9,pyspark,2024-01-07T16:03:22.409580,
vanilla_pyspark_df_grp_numpy,pandas,90,4.049632,9,pyspark,2024-01-07T16:03:26.589272,
vanilla_pyspark_rdd_grp_map,rdd,90,20.790024,9,pyspark,2024-01-07T16:03:47.509152,
vanilla_pyspark_rdd_reduce,rdd,90,25.792743,9,pyspark,2024-01-07T16:04:13.436747,
vanilla_pyspark_rdd_grp_map,rdd,90,30.473525,9,pyspark,2024-01-07T16:04:44.041731,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_sql,sql,90,1.474723,9,pyspark,2024-01-08T21:10:31.170659,
vanilla_pyspark_df_grp_builtin,sql,90,0.501750,9,pyspark,2024-01-08T21:10:31.813407,
vanilla_pyspark_df_grp_pandas,pandas,90,4.563854,9,pyspark,2024-01-08T21:10:36.509104,
vanilla_pyspark_df_grp_numpy,pandas,90,4.196007,9,pyspark,2024-01-08T21:10:40.835425,
vanilla_pyspark_rdd_grp_map,rdd,90,21.708862,9,pyspark,2024-01-08T21:11:02.682854,
vanilla_pyspark_rdd_reduce,rdd,90,27.174867,9,pyspark,2024-01-08T21:11:29.994167,
vanilla_pyspark_rdd_grp_map,rdd,90,32.950362,9,pyspark,2024-01-08T21:12:03.079019,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_sql,sql,90,1.541132,9,pyspark,2024-06-29T22:43:37.352019,
vanilla_pyspark_df_grp_builtin,sql,90,0.423124,9,pyspark,2024-06-29T22:43:37.918204,
vanilla_pyspark_df_grp_pandas,pandas,90,2.540811,9,pyspark,2024-06-29T22:43:40.596054,
vanilla_pyspark_df_grp_numpy,pandas,90,2.218361,9,pyspark,2024-06-29T22:43:42.949601,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_sql,sql,90,1.556600,9,pyspark,2024-06-29T22:53:18.832772,
vanilla_pyspark_df_grp_builtin,sql,90,0.433287,9,pyspark,2024-06-29T22:53:19.417309,
vanilla_pyspark_df_grp_pandas,pandas,90,3.128631,9,pyspark,2024-06-29T22:53:22.716120,
vanilla_pyspark_df_grp_numpy,pandas,90,2.394562,9,pyspark,2024-06-29T22:53:25.295218,
vanilla_pyspark_rdd_grp_map,rdd,90,23.964692,9,pyspark,2024-06-29T22:53:49.402897,
vanilla_pyspark_rdd_reduce,rdd,90,29.494345,9,pyspark,2024-06-29T22:54:19.046866,
vanilla_pyspark_rdd_grp_map,rdd,90,34.806849,9,pyspark,2024-06-29T22:54:53.997081,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_sql,sql,90,1.181757,9,pyspark,2024-06-29T23:35:09.871998,
vanilla_pyspark_df_grp_builtin,sql,90,0.363252,9,pyspark,2024-06-29T23:35:10.374080,
vanilla_pyspark_df_grp_pandas,pandas,90,2.474750,9,pyspark,2024-06-29T23:35:12.991826,
vanilla_pyspark_df_grp_numpy,pandas,90,2.215082,9,pyspark,2024-06-29T23:35:15.347239,
vanilla_pyspark_rdd_grp_map,rdd,90,23.481004,9,pyspark,2024-06-29T23:35:38.964839,
vanilla_pyspark_rdd_reduce,rdd,90,30.059370,9,pyspark,2024-06-29T23:36:09.166339,
vanilla_pyspark_rdd_grp_map,rdd,90,34.627071,9,pyspark,2024-06-29T23:36:43.929738,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_sql,sql,90,1.489432,9,pyspark,2024-06-30T09:03:06.770980,
vanilla_pyspark_df_grp_builtin,sql,90,0.395950,9,pyspark,2024-06-30T09:03:07.311422,
vanilla_pyspark_df_grp_pandas,pandas,90,2.596467,9,pyspark,2024-06-30T09:03:10.043694,
vanilla_pyspark_df_grp_numpy,pandas,90,2.278194,9,pyspark,2024-06-30T09:03:12.462838,
vanilla_pyspark_rdd_grp_map,rdd,90,23.562872,9,pyspark,2024-06-30T09:03:36.159445,
vanilla_pyspark_rdd_reduce,rdd,90,28.671252,9,pyspark,2024-06-30T09:04:04.967477,
vanilla_pyspark_rdd_grp_map,rdd,90,33.795500,9,pyspark,2024-06-30T09:04:38.901800,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_sql,sql,90,1.652843,9,pyspark,2024-06-30T12:24:49.143259,
vanilla_pyspark_df_grp_builtin,sql,90,0.475564,9,pyspark,2024-06-30T12:24:49.774870,
vanilla_pyspark_df_grp_pandas,pandas,90,2.567261,9,pyspark,2024-06-30T12:24:52.492470,
vanilla_pyspark_df_grp_numpy,pandas,90,2.392293,9,pyspark,2024-06-30T12:24:55.021118,
vanilla_pyspark_rdd_grp_map,rdd,90,23.988968,9,pyspark,2024-06-30T12:25:19.153617,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_sql,sql,90,1.159248,9,pyspark,2024-06-30T12:26:46.450499,
vanilla_pyspark_df_grp_builtin,sql,90,0.333814,9,pyspark,2024-06-30T12:26:46.929869,
vanilla_pyspark_df_grp_pandas,pandas,90,2.409437,9,pyspark,2024-06-30T12:26:49.479139,
vanilla_pyspark_df_grp_numpy,pandas,90,2.401569,9,pyspark,2024-06-30T12:26:52.016961,
vanilla_pyspark_rdd_grp_map,rdd,90,24.116654,9,pyspark,2024-06-30T12:27:16.275230,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_sql,sql,90,1.463150,9,pyspark,2024-06-30T13:09:53.645535,
vanilla_pyspark_df_grp_builtin,sql,90,0.497141,9,pyspark,2024-06-30T13:09:54.283050,
vanilla_pyspark_df_grp_pandas,pandas,90,2.671790,9,pyspark,2024-06-30T13:09:57.102169,
vanilla_pyspark_df_grp_numpy,pandas,90,2.212476,9,pyspark,2024-06-30T13:09:59.448726,
vanilla_pyspark_rdd_grp_map,rdd,90,23.331331,9,pyspark,2024-06-30T13:10:22.916463,
vanilla_pyspark_rdd_reduce,rdd,90,28.568470,9,pyspark,2024-06-30T13:10:51.625289,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_sql,sql,90,1.231864,9,pyspark,2024-07-07T16:14:38.955477,
vanilla_pyspark_df_grp_builtin,sql,90,0.433064,9,pyspark,2024-07-07T16:14:39.541175,
vanilla_pyspark_df_grp_pandas,pandas,90,3.193979,9,pyspark,2024-07-07T16:14:42.882642,
vanilla_pyspark_df_grp_numpy,pandas,90,3.032941,9,pyspark,2024-07-07T16:14:46.056861,
vanilla_pyspark_df_grp_numba,pandas,90,6.388813,9,pyspark,2024-07-07T16:14:52.590445,
vanilla_pyspark_rdd_grp_map,rdd,90,24.666518,9,pyspark,2024-07-07T16:15:17.415751,
vanilla_pyspark_rdd_reduce,rdd,90,32.298473,9,pyspark,2024-07-07T16:15:49.857973,
vanilla_pyspark_rdd_grp_map,rdd,90,37.862104,9,pyspark,2024-07-07T16:16:27.864878,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_sql,sql,90,1.006454,9,pyspark,2024-07-07T16:17:55.050774,
vanilla_pyspark_df_grp_builtin,sql,90,0.520566,9,pyspark,2024-07-07T16:17:55.728695,
vanilla_pyspark_df_grp_pandas,pandas,90,3.550806,9,pyspark,2024-07-07T16:17:59.451561,
vanilla_pyspark_df_grp_numpy,pandas,90,3.026654,9,pyspark,2024-07-07T16:18:02.654351,
vanilla_pyspark_df_grp_numba,pandas,90,6.837995,9,pyspark,2024-07-07T16:18:09.640700,
vanilla_pyspark_rdd_grp_map,rdd,90,26.649977,9,pyspark,2024-07-07T16:18:36.455284,
vanilla_pyspark_rdd_reduce,rdd,90,35.107213,9,pyspark,2024-07-07T16:19:11.723484,
vanilla_pyspark_rdd_grp_map,rdd,90,40.360789,9,pyspark,2024-07-07T16:19:52.235700,
 strategy_name,interface,num_source_rows,elapsed_time,num_output_rows,engine,finished_at,
vanilla_pyspark_sql,sql,90,2.066624,9,pyspark,2024-10-08T21:42:43.598728,
vanilla_pyspark_df_grp_builtin,sql,90,0.605340,9,pyspark,2024-10-08T21:42:44.403061,
vanilla_pyspark_df_grp_pandas,pandas,90,4.506746,9,pyspark,2024-10-08T21:42:49.100845,
vanilla_pyspark_df_grp_numpy,pandas,90,4.078374,9,pyspark,2024-10-08T21:42:53.374499,
vanilla_pyspark_df_grp_numba,pandas,90,8.069313,9,pyspark,2024-10-08T21:43:01.642460,
vanilla_pyspark_rdd_grp_map,rdd,90,48.121999,9,pyspark,2024-10-08T21:43:49.953586,
vanilla_pyspark_rdd_reduce,rdd,90,50.560115,9,pyspark,2024-10-08T21:44:40.715936,
vanilla_pyspark_rdd_mappart,rdd,90,50.114085,9,pyspark,2024-10-08T21:45:31.033063,
# Added -O flag to the python command
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
6.296146869659424,pyspark,2024-11-04T16:35:21.831816,sql,python,9,9,vanilla_pyspark_sql,
0.6945717334747314,pyspark,2024-11-04T16:35:22.666381,sql,python,9,90,vanilla_pyspark_sql,
0.594571590423584,pyspark,2024-11-04T16:35:23.409209,sql,python,9,900,vanilla_pyspark_sql,
0.6104047298431396,pyspark,2024-11-04T16:35:24.171073,sql,python,9,9000,vanilla_pyspark_sql,
0.7149889469146729,pyspark,2024-11-04T16:35:25.043150,sql,python,9,90000,vanilla_pyspark_sql,
4.17808985710144,pyspark,2024-11-04T16:35:29.375054,sql,python,9,900000,vanilla_pyspark_sql,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
42.46367049217224,pyspark,2024-11-05T09:28:14.155600,rdd,python,9,900,vanilla_pyspark_rdd_mappart,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
4.746737241744995,pyspark,2024-11-05T09:55:56.665068,sql,python,9,9,vanilla_pyspark_sql,
0.618319034576416,pyspark,2024-11-05T09:55:57.419954,sql,python,9,90,vanilla_pyspark_sql,
0.6314718723297119,pyspark,2024-11-05T09:55:58.194455,sql,python,9,900,vanilla_pyspark_sql,
0.6087431907653809,pyspark,2024-11-05T09:55:58.940263,sql,python,9,9000,vanilla_pyspark_sql,
0.7039732933044434,pyspark,2024-11-05T09:55:59.781087,sql,python,9,90000,vanilla_pyspark_sql,
4.130600929260254,pyspark,2024-11-05T09:56:04.045982,sql,python,9,900000,vanilla_pyspark_sql,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
4.016151189804077,pyspark,2024-11-05T11:18:18.772925,sql,python,9,9,vanilla_pyspark_sql,
0.5872578620910645,pyspark,2024-11-05T11:18:19.506237,sql,python,9,90,vanilla_pyspark_sql,
0.5647540092468262,pyspark,2024-11-05T11:18:20.215667,sql,python,9,900,vanilla_pyspark_sql,
0.5100178718566895,pyspark,2024-11-05T11:18:20.865530,sql,python,9,9000,vanilla_pyspark_sql,
0.689741849899292,pyspark,2024-11-05T11:18:21.693564,sql,python,9,90000,vanilla_pyspark_sql,
4.515798807144165,pyspark,2024-11-05T11:18:26.344022,sql,python,9,900000,vanilla_pyspark_sql,
0.3648488521575928,pyspark,2024-11-05T11:18:26.844238,sql,python,9,9,vanilla_pyspark_df_grp_builtin,
0.4319891929626465,pyspark,2024-11-05T11:18:27.410483,sql,python,9,90,vanilla_pyspark_df_grp_builtin,
0.4305105209350586,pyspark,2024-11-05T11:18:27.978500,sql,python,9,900,vanilla_pyspark_df_grp_builtin,
0.4074411392211914,pyspark,2024-11-05T11:18:28.523418,sql,python,9,9000,vanilla_pyspark_df_grp_builtin,
0.5775482654571533,pyspark,2024-11-05T11:18:29.249527,sql,python,9,90000,vanilla_pyspark_df_grp_builtin,
3.2324752807617188,pyspark,2024-11-05T11:18:32.619103,sql,python,9,900000,vanilla_pyspark_df_grp_builtin,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
3.938795328140259,pyspark,2024-11-05T11:42:24.022997,sql,python,9,9,vanilla_pyspark_sql,
0.5825414657592773,pyspark,2024-11-05T11:42:24.748063,sql,python,9,90,vanilla_pyspark_sql,
0.551079511642456,pyspark,2024-11-05T11:42:25.439891,sql,python,9,900,vanilla_pyspark_sql,
0.48287296295166016,pyspark,2024-11-05T11:42:26.059905,sql,python,9,9000,vanilla_pyspark_sql,
0.6275625228881836,pyspark,2024-11-05T11:42:26.825020,sql,python,9,90000,vanilla_pyspark_sql,
3.726989507675171,pyspark,2024-11-05T11:42:30.689038,sql,python,9,900000,vanilla_pyspark_sql,
0.3372533321380615,pyspark,2024-11-05T11:42:31.165135,sql,python,9,9,vanilla_pyspark_df_grp_builtin,
0.4402749538421631,pyspark,2024-11-05T11:42:31.741662,sql,python,9,90,vanilla_pyspark_df_grp_builtin,
0.4238290786743164,pyspark,2024-11-05T11:42:32.302357,sql,python,9,900,vanilla_pyspark_df_grp_builtin,
0.42560505867004395,pyspark,2024-11-05T11:42:32.863851,sql,python,9,9000,vanilla_pyspark_df_grp_builtin,
0.5257656574249268,pyspark,2024-11-05T11:42:33.525457,sql,python,9,90000,vanilla_pyspark_df_grp_builtin,
3.1947031021118164,pyspark,2024-11-05T11:42:36.854643,sql,python,9,900000,vanilla_pyspark_df_grp_builtin,
2.627385377883911,pyspark,2024-11-05T11:42:39.617863,pandas,python,9,9,vanilla_pyspark_df_grp_pandas,
2.3590409755706787,pyspark,2024-11-05T11:42:42.119528,pandas,python,9,90,vanilla_pyspark_df_grp_pandas,
2.5143589973449707,pyspark,2024-11-05T11:42:44.776903,pandas,python,9,900,vanilla_pyspark_df_grp_pandas,
2.4316718578338623,pyspark,2024-11-05T11:42:47.345097,pandas,python,9,9000,vanilla_pyspark_df_grp_pandas,
4.575019359588623,pyspark,2024-11-05T11:42:52.060704,pandas,python,9,90000,vanilla_pyspark_df_grp_pandas,
10.655129671096802,pyspark,2024-11-05T11:43:02.853952,pandas,python,9,900000,vanilla_pyspark_df_grp_pandas,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,strategy_name,
3.9542293548583984,pyspark,2024-11-05T11:50:40.181705,sql,python,9,9,vanilla_pyspark_sql,
0.609846830368042,pyspark,2024-11-05T11:50:40.935012,sql,python,9,90,vanilla_pyspark_sql,
0.5700578689575195,pyspark,2024-11-05T11:50:41.650204,sql,python,9,900,vanilla_pyspark_sql,
0.5257422924041748,pyspark,2024-11-05T11:50:42.319476,sql,python,9,9000,vanilla_pyspark_sql,
0.635042667388916,pyspark,2024-11-05T11:50:43.090439,sql,python,9,90000,vanilla_pyspark_sql,
3.8699088096618652,pyspark,2024-11-05T11:50:47.096695,sql,python,9,900000,vanilla_pyspark_sql,
